artist,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Тимати,0.1141660476688654,0.03386234755648019,0.027450646929657204,0.031084863135762086,0.013667234406841896,0.2729440889561181,0.008249065044972938,0.12016160263587307,0.008490784310618216,0.02023357568677785,0.1461556734723165,0.05838965268581579,0.01145596013978791,0.012297158871514134,0.051841836194225936,0.001123552057585756,0.02162833050263484,0.029874165279286016,0.015654469303248333,0.0012689451616177737
Big Baby Tape,0.06641720698257077,0.0015861353059544686,0.01754129316224578,0.0047669258193246185,0.026117898576478088,0.015039838412067569,0.00015630645980132344,0.07221986730867706,0.006434568400741419,0.15358674631271285,0.346260661851573,0.023949006379351916,0.041136917970544154,0.00013468539019177074,0.06159916471456286,0.0032138651179385975,0.11706049266099353,0.0019608273727281175,0.036150360361269465,0.004667231440272687
IC3PEAK,0.08202493554503365,0.012461558968220893,0.058715375022655995,0.005478401226810022,0.0006693268648187823,0.28293859774751956,0.015215842260387729,0.11191437459388154,0.006236530088873205,0.0005083152382299651,0.01848511800590646,0.03222756755534337,0.01457510548513283,0.005405954058015454,0.16596692177422057,0.009511849411271681,0.11103995500788404,0.02551813919249706,0.00672453294981764,0.03438159900347962
sted.d,0.7346409895466676,0.0004469015173105647,0.0009465078535469092,0.00046220131188771187,0.0007956653372079499,0.1827298487924393,0.00038602221916525905,0.05887693970917056,0.0004705625503655206,0.0006042609335023294,0.0012632510317258454,0.00045608555008335805,0.0003478436441970376,0.014459883972219088,0.0007525803808652777,0.0005714156348439636,0.0006717524756379088,0.00037360259752222344,0.0004186715908598161,0.0003250133507818553
Summer of Haze,0.005641944552746715,0.0012192453391263948,0.00258213973089346,0.0012609865172916505,0.0021707151890793634,0.007169480240245073,0.0010531532756940152,0.5493218153084972,0.001283797749736268,0.11122556472816712,0.0034448894664989627,0.0012443014081606491,0.09081903597669974,0.038033678091610706,0.14690254228478358,0.0015589469851933426,0.0018326979562580444,0.0010192697822920594,0.0011422278746867876,0.031073567542338882
Петя OST,0.42477778085330525,0.0006033702324980766,0.0012776390166643772,0.03996807566673358,0.0010742333031440125,0.38834513188396264,0.0005211759618166736,0.047342096872216,0.000635315465804533,0.0008158241511181356,0.0017032344027065798,0.0006157698014505309,0.0004696303198581827,0.00044908438608414885,0.0010160760575614154,0.0007714791160286111,0.01896535360727136,0.06964466568151767,0.000565256501329101,0.000438806718929119
Юлия Самошкина,0.0033608787912058602,0.0007231562878712952,0.001531300303782603,0.0007479137531349719,0.0012875037941297185,0.2370866767251262,0.0006246441257704717,0.004798333324807463,0.2308864076482835,0.0009777882703893995,0.0020403236383403594,0.0007380175191183982,0.000562865189914867,0.0005382403217072895,0.0012177906881587653,0.0009246395518821697,0.0010869994665935918,0.5096631224547696,0.0006774759035531798,0.0005259222414601989
Барды,0.296579609079539,0.00039034657531023263,0.0008265722721369715,0.013523046717819788,0.0006949757372314069,0.1574642301882527,0.0003371715021011426,0.0026548654459602095,0.0004110133210145762,0.000527792310546783,0.0011021518347293306,0.00039836838620999694,0.00030382436827731816,0.0002905323001237492,0.000657341303739967,0.0004991035502158706,0.0005867427670735269,0.5221027399831056,0.0003656891222136428,0.0002838832343980639
Хатико,0.4247781761955554,0.0006033702437367217,0.0012776390404622558,0.03996779328916546,0.0010742333231531648,0.38834832796559743,0.0005211759715243314,0.04733987748125813,0.0006353154776382043,0.0008158241663140429,0.0017032344344317892,0.000615769812920136,0.00046963032860572815,0.00044908439444899645,0.0010160760764873046,0.000771479130398528,0.018965394938717323,0.06964353449062467,0.0005652565118578227,0.0004388067271025302
Барды.,0.00258717152981311,0.0005554497611838977,0.0011761991994549638,0.0005744657950270824,0.0009889221190677899,0.1792319720428897,0.00047978347514162576,0.003831396503728041,0.0005848578407279671,0.0007510303965657169,0.0015684581502001592,0.0005668645154050897,0.00043233166244436677,0.00041341749199961907,0.0009353740439085307,0.000710207213554518,0.0008349147887632596,0.8028528643116024,0.0005203630591114197,0.0004039560994106828
Очередной MC,0.2036771524167033,0.00021524717544793757,0.00045582724043845323,0.00022261622857396628,0.00038322590542702264,0.0013274100997853503,0.00018592506771844102,0.11697635218934,0.0002266433544981729,0.00029103833377481673,0.13533060325890434,0.00021967060093584215,0.00016753659188469341,0.00016020701082676214,0.0003624751081721648,0.00027521859826944633,0.00032354527351308637,0.00017994322677439316,0.02984155380102531,0.5091778085179864
KRiceT,0.0035701766338728505,0.0007614336819065772,0.00161238957562604,0.04509528397965476,0.0013556528314993663,0.5115123018679506,0.0006577071720506256,0.3400376787533089,0.0008017474900124297,0.0010295437364862758,0.0021499007306104868,0.0007770814716275246,0.0005926581948637379,0.0005667298852361804,0.0012822529764322987,0.0009735816147905658,0.0011445366875375972,0.08481224753776788,0.0007133353564199916,0.0005537598223452492
Саша Бест,0.2644467506553837,0.01956337176132303,0.0014180435051696087,0.05145172657322997,0.0011922933956488864,0.31338579169526465,0.026551288758188508,0.004660739713410709,0.0007051351113018393,0.027324882411883366,0.08472662488856122,0.0006834414107543845,0.0005212415416506329,0.05268661539667214,0.0011277368031510854,0.0008562628374180657,0.06327903700040033,0.08430460917313616,0.0006273768488989838,0.00048703051855276025
Наталья Барсукова,0.24101170414724668,0.0005307005305056076,0.0011238712599573072,0.0005488692343419124,0.0009448613661579856,0.07375604344608767,0.0004584057238200604,0.31583540073830596,0.0005587982375062159,0.0007175666529619319,0.0014986411144843098,0.0005416066655332657,0.0004130681907025382,0.0003949968100612968,0.0008937005066487647,0.0006785625198954029,0.12383470395079542,0.04500249499171862,0.0004971771717955214,0.19075882674147351
Хаски,0.18452285781790348,0.08483092853661406,0.02293421186619046,0.00026020051443168126,0.0715549606622881,0.18408691896386903,0.0002173147868195941,0.05222623997655877,0.022415444650687788,0.009298703955134428,0.10659991622983939,0.01952797030397251,0.003170587577687961,0.018767598039932804,0.11095458679097976,0.00601248106325271,0.021518280649089085,0.07069561064112241,0.004475172614108135,0.00593001435951788
Кровосток,0.19371050253082653,0.0021276791748352166,0.03600775553848432,0.010739271275397028,0.02197897680681025,0.0648933380517988,0.0006324299504897131,0.20566423672628545,0.03788710055282452,0.1098329540023612,0.057218703524742016,0.005436995647437506,0.08505342588815772,0.0016880066786229759,0.008181951061378161,0.003364793261913842,0.018979592498054174,0.07859603052217143,0.03988335271469081,0.018122903592718308
Sandy Fish,0.2720631393234274,0.00037358390260629383,0.03719275116272765,0.0003863736683634949,0.1139070032618518,0.14831219789231734,0.00032269233288638585,0.2628302307267413,0.09877343592818327,0.06123020199944417,0.0010559747586312508,0.00038126123123724597,0.00029077721754864114,0.0002780559622091467,0.0006291152751087769,0.00047767058115021576,0.0005615467737821611,0.00031231023973989845,0.0003499853233353941,0.00027169243870823475
48 kbps,0.25799263842611364,0.00023964498453382029,0.08314179093718958,0.025193777175700757,0.022073140809172064,0.05862386892243201,0.00020699927822029267,0.13187474653320164,0.0002523329004678368,0.0639631185471546,0.19940866736020904,0.021675499623028942,0.00018652651014592546,0.00017836613130537253,0.05410031998480676,0.02118077179002408,0.059108659544205605,0.00020033940546997664,0.00022450706465397145,0.00017428407196410964
анна ривелотэ,0.2609073235521319,0.0659883473712876,0.0009019127378751178,0.03254230709429991,0.000758306563202206,0.36357442910085025,0.00036789906184891725,0.09092272414766567,0.03909014260114682,0.0005758918811680037,0.0012027077883109709,0.000434673006681319,0.0003315128665860784,0.00031700946570949965,0.035583012333938145,0.030205180753624224,0.06369291262197052,0.00035606247437968216,0.00039901557142022506,0.011848629005902892
Павел Пиковский,0.302740914070324,0.0002780662148180097,0.0005888170221037662,0.0002875859035261389,0.04897352508006896,0.26306514026016203,0.00024018657384969303,0.1260293624602257,0.0002927883298480309,0.0003759767140580612,0.13767001594972775,0.02170246928140301,0.0002164315025919757,0.00020696280379688874,0.0004682679910032309,0.0003555400616845205,0.000417970981984786,0.00023245895357511216,0.010589585140614885,0.08526793470463344
Пабло Прекрати,0.3945873615703612,0.2888344699038087,0.05049337376153222,0.00031601639491895015,0.0967224670680202,0.05105856366354705,0.0002639312163920447,0.0022324012996275174,0.00032173314426215397,0.0004131455163300863,0.09632405469735189,0.0003118349309318228,0.00023782772735971898,0.00022742296182999233,0.000514555229380814,0.0003906884173299389,0.00045929118478214907,0.015782388871093546,0.00028625423403725876,0.0002222182071028049
Horus,0.22451374054985684,0.0002088151527168504,0.04054009087590541,0.00021596399986427504,0.06732983625070138,0.166687902843182,0.00018036924141109909,0.36567479014645565,0.021924696572631793,0.009658161312182742,0.05570170310316745,0.00021310639641016938,0.00016253026553184725,0.00015541968992421827,0.0003516465037430406,0.00026699448522436167,0.0003138771796817399,0.04555286793809626,0.0001956246991792307,0.00015186279413365573
Louis Pasteur,0.6223584759034214,0.0001687613642399753,0.06275093158757669,0.00017453895511958565,0.00030046135574608447,0.0010396369611584669,0.01036240963050794,0.10546670694537878,0.0001776963716534615,0.02161058903503577,0.00047685982745635907,0.032354136862428745,0.00013135458722707337,0.00012560793372095601,0.00959871110708748,0.00021578104967491095,0.12016702365417142,0.0001410818300534037,0.00015810102345357015,0.012221134014887884
RipBeat,0.5181483033254353,0.0760940997350776,0.0006294903141776894,0.02317848510763558,0.0005292278394945018,0.17944655406643034,0.01358280487914165,0.12616132168078242,0.00031298914817141183,0.015360850753882526,0.0008395700521875478,0.00030335994102484795,0.010355630224004948,0.0002212421205702035,0.0005005752897205835,0.0003800704001227752,0.033212274427035414,0.00024849738073045143,0.0002784745041892378,0.0002161788101850029
Брутто,0.2789091667015932,0.26441412071988585,0.0005010769012556463,0.05972021499542599,0.0004213015791512858,0.17998121473891399,0.00020439771474018323,0.17031590366590738,0.0002491615774144282,0.0003199545254758684,0.0006685874436626704,0.0002414960499302996,0.00018418225086908648,0.00017612443282621958,0.015968154393423663,0.00030256303557946835,0.00035569120875700554,0.015530411331677582,0.00022168546402551252,0.011314591269484654
