artist,n_songs,n_tokens,ttr,hapax_ratio,mat_density,sentiment_lex,top_emotions,year_min,year_max
JILLZAY - ТВОY НОМЕР,2,874,0.6041189931350115,0.459954233409611,0.009153318077803204,0.011441647597254004,"joy:8,anger:2,fear:2",,
Jonathan Roy feat Natasha St.Pier,2,518,0.4864864864864865,0.2702702702702703,0.0,0.011583011583011582,"fear:2,joy:2",,
KReeD,2,646,0.5356037151702786,0.38390092879256965,0.015479876160990712,0.018575851393188854,"joy:14,fear:6,disgust:2",,
Kalif feat Drago,2,798,0.3007518796992481,0.16290726817042606,0.0,0.07268170426065163,joy:58,,
Kaliff,2,798,0.3007518796992481,0.16290726817042606,0.0,0.07268170426065163,joy:58,,
Loc-Dog,2,874,0.5298620140083043,0.3780197542255589,0.002369668246445498,0.01848550937382041,"joy:13,sadness:6,anger:2",,
MSI,2,518,0.5907335907335908,0.4362934362934363,0.0,0.0,"surprise:8,sadness:4,fear:2",,
Madwayz LOC,2,624,0.6275554778962082,0.5008518259654028,0.002577319587628866,0.01712388607373755,"joy:2,disgust:1",,
Marselle,2,660,0.6454545454545455,0.5212121212121212,0.006060606060606061,0.021212121212121213,"joy:4,surprise:4,disgust:2",,
Mary Gu,2,559,0.36457725173823047,0.17869274454646783,0.00370866726819171,0.026544504007218302,"joy:14,anger:3,sadness:2",,
Mc Avetis a.k.a. 9 Грамм,2,410,0.6048780487804878,0.48292682926829267,0.0,0.04390243902439024,"joy:16,sadness:4",,
Mezza Morta,2,609,0.6651854337612851,0.5261967135032151,0.0034965034965034965,0.004243434583991859,"fear:2,joy:2,sadness:2",,
Mr.Makintosh,2,774,0.5968992248062015,0.4883720930232558,0.012919896640826873,0.020671834625323,"joy:22,anger:4",,
Natasha St Pier,2,1006,0.4711729622266402,0.294234592445328,0.0,0.02186878727634195,joy:14,,
Natasha St- Pier,2,602,0.43853820598006643,0.2425249169435216,0.0,0.03322259136212625,joy:20,2012.0,2012.0
Natasha St.Pier,2,836,0.361244019138756,0.20095693779904306,0.0,0.014354066985645933,joy:14,,
Obladaet w/ Sted.D,2,514,0.5519361531355534,0.3388835885087759,0.003952569169960474,0.013591689003982856,"joy:5,disgust:1,fear:1",,
Porchy,2,771,0.6111196666364707,0.48083612646073015,0.006024096385542169,0.008705498686475225,"joy:3,sadness:1",2016.0,2016.0
Prāta Vētra,2,556,0.6510791366906474,0.5251798561151079,0.0,-0.0035971223021582736,"sadness:6,joy:2",2018.0,2018.0
REBELS,2,182,0.8681318681318682,0.8021978021978022,0.0,0.0,"anger:2,joy:2",,
REDO,2,404,0.6005780798375127,0.4615134234304612,0.03896830976746608,0.0012759419836991903,sadness:1,,
Rido,2,1118,0.4883720930232558,0.32737030411449014,0.0017889087656529517,0.028622540250447227,"joy:32,sadness:6",,
ST feat Женя Женева,2,674,0.4658753709198813,0.3293768545994065,0.0,0.008902077151335312,"joy:18,sadness:14,anger:4",2008.0,2008.0
ST feat Макс Лоренс,2,596,0.4899328859060403,0.3724832214765101,0.0,0.040268456375838924,"joy:34,sadness:14,disgust:2",,
ST. Сергей Есенин,2,188,0.6702127659574468,0.5425531914893617,0.0,0.031914893617021274,joy:2,,
SUPERIOR.CAT.PROTEUS,2,415,0.6658983451536643,0.5288416075650118,0.04544917257683215,0.029432624113475178,"joy:4,sadness:3,fear:2",2014.0,2014.0
Sa.v.a.ge G.ar.de.n,2,1114,0.39497307001795334,0.21723518850987433,0.0,0.010771992818671455,joy:6,,
Schokk,2,758,0.5646437994722955,0.43007915567282323,0.036939313984168866,0.002638522427440633,"fear:4,anger:2,joy:2",,
Scroodge(Скрудж),2,152,0.5329004329004329,0.3354978354978355,0.0,-0.01316017316017316,,,
Shot,2,500,0.5287473656480506,0.36067571127502634,0.0041161749209694416,-0.0006915173867228664,"sadness:3,joy:2",2019.0,2023.0
St Сто из Ста feat Сацура,2,844,0.37203791469194314,0.25829383886255924,0.0,0.023696682464454975,"joy:26,sadness:10",,
Sten aka St.G,2,354,0.5819209039548022,0.4011299435028249,0.005649717514124294,0.05084745762711865,"joy:8,disgust:2,fear:2",,
Stens,2,770,0.6454652174793045,0.557151145923992,0.005194945385606628,-0.0012919896640826874,"anger:6,joy:6,sadness:4",,
Stim,2,1214,0.5387149917627677,0.4052718286655684,0.05601317957166392,0.0,"joy:6,anger:4,fear:2",,
T.A. Yanix,2,430,0.7209302325581395,0.5953488372093023,0.009302325581395349,0.009302325581395349,"joy:4,anger:2",2013.0,2013.0
TRIAGRUTRIKA,2,1252,0.6395720396516696,0.5214031219054036,0.01112268128592284,0.009606648086327116,"joy:10,anger:3,fear:3",,
Timati,2,572,0.541958041958042,0.3986013986013986,0.0,0.027972027972027972,joy:12,2011.0,2011.0
Versus Battle,2,988,0.5728744939271255,0.45546558704453444,0.012145748987854251,-0.006072874493927126,"surprise:6,anger:2,disgust:2",,
White Hot Ice,2,568,0.5,0.27816901408450706,0.0,0.01056338028169014,"sadness:8,joy:6,anger:2",,
White hot ice feat Многоточие,2,444,0.481981981981982,0.24324324324324326,0.0,0.0,sadness:8,,
[ НоГГано],2,1210,0.6446280991735537,0.540495867768595,0.003305785123966942,0.003305785123966942,"anger:6,disgust:4,joy:4",,
[I love [Music ❤ ],2,1056,0.4962121212121212,0.3522727272727273,0.0,0.03787878787878788,"joy:52,sadness:8,anger:4",,
[АК-47],2,1030,0.46990291262135925,0.3650485436893204,0.017475728155339806,0.013592233009708738,"disgust:2,joy:2",,
[Ноггано и КупЭ],2,1174,0.5826235093696763,0.4752981260647359,0.015332197614991482,0.008517887563884156,"joy:16,fear:8,sadness:4",,
[Ноггано и Купэ],2,606,0.43234323432343236,0.3069306930693069,0.1353135313531353,0.0,"disgust:2,joy:2",,
dom!No,2,461,0.6631758764111706,0.4857821916645446,0.013029454205924794,0.026080129021305493,"joy:9,sadness:1",,
drago,2,630,0.473015873015873,0.3238095238095238,0.0,0.07301587301587302,joy:44,,
loqiemean,2,580,0.4605394730263487,0.3612069396530173,0.009887005649717515,0.002824858757062147,"joy:2,anger:1",2017.0,2017.0
st,2,570,0.49473684210526314,0.34385964912280703,0.007017543859649123,0.03859649122807018,"joy:8,anger:6",,
|DRAGO|,2,666,0.4864864864864865,0.34234234234234234,0.0,0.03003003003003003,"joy:14,fear:2",,
Ака-47,2,660,0.5630576405608271,0.4085115422744654,0.0008143322475570033,0.0402209318793372,"joy:6,fear:5,anger:1",,
Алексей Гоман,2,342,0.5497076023391813,0.38596491228070173,0.0,0.04093567251461988,"joy:16,anger:4,fear:2",,
Аля Кудряшева,2,555,0.6322772971709142,0.5168731977242615,0.0,0.01435975372145585,"joy:7,sadness:5,anger:4",,
Алёна Апина,2,430,0.20930232558139536,0.10232558139534884,0.0,0.046511627906976744,"joy:22,sadness:2",1994.0,1994.0
Ант 25/17,2,696,0.5061106523534269,0.36812551610239475,0.001445086705202312,0.033088356729975225,"joy:12,fear:4,sadness:2",,
Армия брат,2,344,0.6395348837209303,0.4883720930232558,0.011627906976744186,-0.005813953488372093,sadness:2,,
Ассорти,2,204,0.5392156862745098,0.28431372549019607,0.0,-0.049019607843137254,"sadness:14,joy:2",,
