node,community,degree,weighted_degree,song_count,corpus_artist
Чечерина,80,1,0.9892855637350016,1,True
на грузинском,81,0,0.0,1,True
. ιllιlιιl Сява,82,0,0.0,1,True
1 klass,83,1,0.4120340057671158,1,True
Domino-Прыгай в такт,83,1,0.4120340057671158,1,True
10. Сплин,84,1,0.9998671990911793,1,True
Сплин,84,1,0.9998671990911793,1,True
тбили,85,0,0.0,1,True
13 Фронт,86,0,0.0,1,True
207. Soulkast,87,1,1.0000000000000002,1,True
Soulkast,87,1,1.0000000000000002,1,True
2H Company,88,0,0.0,1,True
2rbina 2rista,89,0,0.0,1,True
43ai,90,0,0.0,1,True
48 kbps,91,0,0.0,1,True
4SGM,92,1,0.993248621623588,1,True
Dav,92,1,0.993248621623588,1,True
5 Шлюх,93,0,0.0,1,True
5'nizza,94,2,1.6836484895877706,1,True
5'nizza - Белые рубашки,94,2,1.653672019646396,1,True
Сергей Бабкин,94,2,1.5345503844004424,1,True
Afisha.ru,95,0,0.0,1,True
Alex Dark Stalker98,96,0,0.0,1,True
Alex Fish,97,0,0.0,1,True
Animal ДжаZ,98,0,0.0,1,True
Bahh Tee,99,0,0.0,1,True
"Bahh Tee ""Небо не предел""",100,0,0.0,1,True
Bandit-Aul B.CH.S,101,0,0.0,1,True
Barry Gibb,102,1,0.9999999999999997,1,True
МЖ,102,1,0.9999999999999997,1,True
Bassnectar,103,1,0.7952660744217045,1,True
Charlie Mole,103,1,0.7952660744217045,1,True
Billy's Band,104,0,0.0,1,True
Bones,105,0,0.0,1,True
Can4eZ,106,0,0.0,1,True
Check,107,0,0.0,1,True
Chernikovskaya Hata,108,2,1.976636273470048,1,True
черниковская хата,108,2,1.976636273470048,1,True
MEOW!,108,2,1.9532725469400956,1,True
ChipaChip,109,0,0.0,1,True
Chpoks,110,0,0.0,1,True
Cтрана OZ,111,0,0.0,1,True
Курские соловьи,112,3,0.6486286016725901,1,True
D-Bosh,112,1,0.2247684050205396,1,True
ВИА Пламя,112,1,0.22223322476578464,1,True
Оксана Почепа,112,1,0.2016269718862658,1,True
D.I.P. PROJECT,113,0,0.0,1,True
D1sH,114,0,0.0,1,True
DJ Хобот,115,0,0.0,1,True
