node,community,degree,weighted_degree,song_count,corpus_artist
Johnyboy,92,0,0.0,23,True
Lil'Stop,93,0,0.0,1,True
"H1GH ""Клетка""",94,0,0.0,1,True
Rate1.2,95,1,1.0,1,True
SiFo-Делай громче звук,95,1,1.0,0,False
[METEORA],96,0,0.0,1,True
Для доты именно для Васи Бояркина,97,0,0.0,1,True
Long Star,98,0,0.0,1,True
Vomut,99,0,0.0,1,True
L'One,100,0,0.0,10,True
gone.Fludd,101,0,0.0,13,True
Truwer,102,0,0.0,20,True
Lil Morty,103,0,0.0,13,True
Нигатив,104,2,2.0,12,True
Гарри Топор,104,2,2.0,1,True
Дино produced by Сэт и Нигатив,104,1,1.0,0,False
Stevie Insane,104,1,1.0,0,False
Руставели ( Многоточие ),105,1,1.0,1,True
Динайс (Prod. Динайс,105,1,1.0,0,False
Lebron,106,0,0.0,1,True
Дино,107,0,0.0,1,True
Рем Дигга,108,1,1.0,22,True
Нигатив Триада,108,1,1.0,0,False
"Bahh Tee ""Небо не предел""",109,0,0.0,1,True
Лион,110,0,0.0,1,True
Луперкаль,111,0,0.0,1,True
Песочные люди,112,1,2.0,4,True
Fredro Starr,112,1,2.0,0,False
the Chemodan,113,5,5.0,22,True
Скептик,113,1,1.0,1,True
Надо по делам,113,1,1.0,1,True
Sony Money,113,1,1.0,0,False
FRIENDLY THUG 52 NGG — До завтрака,113,1,1.0,0,False
Словетский,114,3,3.0,13,True
Dj Nik One,114,1,1.0,1,True
РАСКОЛЬНИКОВ,114,1,1.0,1,True
Para,114,1,1.0,0,False
Loc-Dog,115,0,0.0,2,True
Грозный,116,0,0.0,1,True
Бей,117,0,0.0,1,True
Mezza Morta,118,0,0.0,1,True
"Зарина, Многоточие и Корни",119,0,0.0,1,True
Мот,120,1,1.0,29,True
Смешарики — Обормот,120,1,1.0,0,False
Сява,121,0,0.0,23,True
Afisha.ru,122,0,0.0,1,True
Diamond Miners Gang,123,0,0.0,1,True
100 music,124,1,1.0,1,True
Скриптонит-Ламбада,124,1,1.0,0,False
T-Fest,125,1,1.0,10,True
Go Loco,125,1,1.0,0,False
Хабиб Шарипов,126,0,0.0,1,True
Donnie Brasco,127,0,0.0,1,True
nightcore,128,0,0.0,1,True
ЛСП,129,2,2.0,14,True
Oxxxymiron - Мне скучно жить,129,1,1.0,0,False
Степан Карма — Magic City,129,1,1.0,0,False
Максим Демах,130,0,0.0,2,True
Greenaleх - Пати для Богатеньких\Нет Денег,131,0,0.0,1,True
это девка словно пуля,132,0,0.0,1,True
Porchy,133,0,0.0,1,True
PHARAOH - это девочка просто пуля,134,2,2.0,0,False
ЧиСтО боМ боММ,134,1,1.0,1,True
Неизвестный исполнитель,134,1,1.0,3,True
Третий Путь (Многоточие и M. Squad),135,0,0.0,2,True
Иезекииль 25:17 Feat. Многоточие,136,0,0.0,1,True
(AlljЭлджей),137,0,0.0,1,True
ND Production,138,0,0.0,1,True
Музыкальная жизнь™,139,0,0.0,1,True
†.чЁ за трЕк.†,140,0,0.0,1,True
ChipaChip,141,0,0.0,1,True
Mary Gu,142,0,0.0,2,True
Instasamka,143,0,0.0,10,True
Хома,144,0,0.0,1,True
КОЈЕКУДА,145,0,0.0,1,True
Наречена_Михайло Хома,146,0,0.0,1,True
Бьянка,147,0,0.0,2,True
T.A. Yanix,148,0,0.0,2,True
HOMIE – Безумно можно быть первым,149,0,0.0,1,True
на грузинском,150,0,0.0,1,True
#SWAGGAЖОПС,151,0,0.0,1,True
Кемикэл Депазитз,152,0,0.0,1,True
Bandit-Aul B.CH.S,153,0,0.0,1,True
VCrash,154,0,0.0,1,True
Ляляля,155,0,0.0,1,True
Пацантрэ,156,0,0.0,1,True
Хоми,157,0,0.0,10,True
Триагрутрика,158,11,19.0,18,True
АК-47,158,8,11.0,75,True
Taj Mahal,158,6,7.0,0,False
